Afghanistan,Kabul,afghani
Albania,Tirana,lek
Algeria,Algiers,Algerian dinar
American Samoa,Pago Pago,US dollar
Andorra,Andorra la Vella,euro
Angola,Luanda,kwanza
Anguilla,The Valley,Eastern Caribbean dollar
Antarctica,-,-
Antigua and Barbuda,St John's,Eastern Caribbean dollar
Argentina,Buenos Aires,Argentine peso
Armenia,Yerevan,dram
Aruba,Oranjestad,Aruban guilder
Australia,Canberra,Australian dollar
Austria,Vienna,euro
Azerbaijan,Baku,Azerbaijani manat
The Bahamas,Nassau,Bahamian dollar
Bahrain,Manama,Bahraini dinar
Bangladesh,Dhaka,taka 
Barbados,Bridgetown,Barbados dollar
Belarus,Minsk,Belarusian rouble
Belgium,Brussels,euro
Belize,Belmopan,Belize dollar
Benin,Porto Novo,franc
Bermuda,Hamilton,Bermuda dollar
Bhutan,Thimphu,ngultrum
Bolivia,Sucre,boliviano
Bosnia and Herzegovina,Sarajevo,Bosnian convertible mark
Botswana,Gaborone,pula 
Bouvet Island,-,-
Brazil,Brasilia,Brazilian real (pl. reais)
British Indian Ocean Territory,-,-
British Virgin Islands,Road Town,US dollar
Brunei,Bandar Seri Begawan,Brunei dollar
Bulgaria,Sofia,lev
Burkina Faso,Ouagadougou,franc
Burundi,Bujumbura,Burundi franc
Cambodia,Phnom Penh,riel
Cameroon,Yaoundé,franc
Canada,Ottawa,Canadian dollar
Cape Verde,Praia,Cape Verde escudo
Cayman Islands,George Town,Cayman Islands dollar
Central African Republic,Bangui,fran
Chad,N'Djamena,CFA franc
Chile,Santiago,Chilean peso
China,Beijing,renminbi-yuan (inv.)
Christmas Island,Flying Fish Cove,Australian dollar
Cocos (Keeling) Islands,Bantam,Australian dollar
Colombia,Santa Fe de Bogotá,Colombian peso
Comoros,Moroni,Comorian franc
Congo27,Brazzaville,franc28
Cook Islands,Avarua,New Zealand dollar
Costa Rica,San José,Costa Rican colÛn (pl. colones)
Côte d'Ivoire,Yamoussoukro,franc31
Croatia,Zagreb,kuna
Cuba,Havana,Cuban peso
Cyprus,Nicosia,Cyprus pound
Czech Republic,Prague,Czech koruna (pl. koruny)
Democratic Republic of the Congo,Kinshasa,Congolese franc
Denmark,Copenhagen,Danish krone (pl. kroner)
Djibouti,Djibouti,Djibouti franc
Dominica,Roseau,Eastern Caribbean dollar
Dominican Republic,Santo Domingo,Dominican peso
Ecuador,Quito,US dollar
Egypt,Cairo,Egyptian pound
El Salvador,San Salvador,US dollar; Salvadorian colÛn (pl. colones)
Equatorial Guinea,Malabo,franc33
